,Title,Published Date,Featured Image,Launches,News Sites,URL
9,SpaceX Falcon 9 rocket wins fourth Moon lander launch contract,2020-08-27 06:55:00+00:00,https://www.teslarati.com/wp-content/uploads/2020/08/XL-1-lunar-lander-CLPS-Masten-Space-1-crop-c-1024x513.jpg,[],teslarati,https://www.teslarati.com/spacex-wins-fourth-moon-lander-launch-contract/
8,Boca work continues as SpaceX marks anniversary of Starhopper’s final flight,2020-08-27 18:45:55+00:00,https://www.nasaspaceflight.com/wp-content/uploads/2019/08/EDAljuYXkAABK8d.jpg,['0389266e-e523-4a18-a320-ed746a5a315b'],nasaspaceflight,https://www.nasaspaceflight.com/2020/08/boca-work-starhopper-anniversary/
7,SpaceX to launch Masten lunar lander,2020-08-27 20:33:29+00:00,https://spacenews.com/wp-content/uploads/2020/04/mastenxl1-879x485.jpg,[],spacenews,https://spacenews.com/spacex-to-launch-masten-lunar-lander/
6,SpaceX eyes two Falcon 9 launches and a Starship hop in three days,2020-08-28 08:55:00+00:00,https://www.teslarati.com/wp-content/uploads/2020/08/Starship-SN6-B1059-B1060-Richard-Angle-bocachicagal-1-c-1024x472.jpg,"['98a5da32-4719-495b-9713-fcb5c058f31c', '82b600f6-6c2d-4694-a263-cec4525714cf', '6ada5478-9522-48ac-ad71-549097340355']",teslarati,https://www.teslarati.com/spacex-two-launches-one-hop-three-days/
5,SpaceX poised for back-to-back launches Sunday at Cape Canaveral,2020-08-29 00:26:00+00:00,https://mk0spaceflightnoa02a.kinstacdn.com/wp-content/uploads/2020/08/f9_saocomtraj.jpg,"['82b600f6-6c2d-4694-a263-cec4525714cf', '98a5da32-4719-495b-9713-fcb5c058f31c']",spaceflightnow,https://spaceflightnow.com/2020/08/29/spacex-poised-for-back-to-back-launches-sunday-at-cape-canaveral/
4,"SpaceX, Rocket Lab, ULA all have rocket launches planned this weekend",2020-08-29 04:24:38+00:00,https://www.teslarati.com/wp-content/uploads/2020/08/Banner1.jpg,"['6cdf9823-7574-4c0d-a3b2-956c7b364756', '82b600f6-6c2d-4694-a263-cec4525714cf', '98a5da32-4719-495b-9713-fcb5c058f31c', 'a9526278-ef96-48ba-abbd-275f1370d6c0']",teslarati,https://www.teslarati.com/spacex-rocket-lab-ula-all-have-rocket-launches-planned-this-weekend/
3,SpaceX Falcon 9 doubleheader still on track after fiery ULA launch abort,2020-08-30 04:07:26+00:00,https://www.teslarati.com/wp-content/uploads/2020/08/Starlink-10-SkySat-Falcon-9-B1049-081820-Richard-Angle-launch-1.jpg,"['82b600f6-6c2d-4694-a263-cec4525714cf', '98a5da32-4719-495b-9713-fcb5c058f31c', '6cdf9823-7574-4c0d-a3b2-956c7b364756']",teslarati,https://www.teslarati.com/spacex-falcon-9-doubleheader-ula-launch-abort/
2,SpaceX postpones first Super Sunday flight due to weather,2020-08-30 12:29:21+00:00,https://www.nasaspaceflight.com/wp-content/uploads/2020/08/EexNGgyWoAA8v93.jpg,['82b600f6-6c2d-4694-a263-cec4525714cf'],nasaspaceflight,https://www.nasaspaceflight.com/2020/08/spacex-super-sunday-100th-falcon-launch/
1,SpaceX to Conduct First Polar Launch from Cape in over 50 Years,2020-08-30 19:20:47+00:00,https://www.nasaspaceflight.com/wp-content/uploads/2020/08/8152077D-3F66-47B1-A3D5-4DE4A8D0F30C.jpeg,[],nasaspaceflight,https://www.nasaspaceflight.com/2020/08/spacex-polar-cape-50-years/
0,SpaceX to attempt first East Coast polar launch in half a century as storms loom,2020-08-30 21:42:35+00:00,https://www.teslarati.com/wp-content/uploads/2020/08/SAOCOM-1B-Falcon-9-B1059-LC-40-SpaceX-prelaunch-fairing-1-crop-c-1024x463.jpg,[],teslarati,https://www.teslarati.com/spacex-east-coast-polar-launch-bad-weather/
